iShares China Large-Cap ETF
Inception Date,"Oct 5, 2004"
Fund Holdings as of,"19-May-2015"
Total Net Assets,"$7,567,143,730"
Shares Outstanding,"150,600,000"
Stock,"99.78"
Bond,"0.00"
Cash,"1.42"
Other,"0.00"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Country,Market Value,Shares,Price,Exchange,Currency,Market Currency,FX Rate,Notional Value
"700","KYG875721634","BMMV2K8","TENCENT HOLDINGS LTD","8.9970","Equity","Technology","China","$680,813,599","32,699,300","20.82","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"939","CNE1000002H1","B0LMTQ3","CHINA CONSTRUCTION BANK CORP H","7.5514","Equity","Financials","China","$571,422,598","588,269,320","0.97","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"941","HK0941009539","6073556","CHINA MOBILE LTD","7.4371","Equity","Telecommunications","China","$562,777,148","41,509,500","13.56","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"1398","CNE1000003G1","B1G1QD8","INDUSTRIAL & COMMERCIAL BANK OF CH","6.8835","Equity","Financials","China","$520,884,374","602,670,995","0.86","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"3988","CNE1000001Z5","B154564","BANK OF CHINA LTD.","5.8190","Equity","Financials","China","$440,334,543","657,702,000","0.67","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"2318","CNE1000003X6","B01FLR7","PING AN INS GRP CO OF CHINA LTD- H","4.6708","Equity","Financials","China","$353,442,918","24,573,000","14.38","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"2628","CNE1000002L3","6718976","CHINA LIFE INS-H","4.4916","Equity","Financials","China","$339,883,591","69,888,000","4.86","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"883","HK0883013259","B00G0S5","CNOOC LTD.","3.7367","Equity","Oil & Gas","China","$282,759,030","176,770,000","1.60","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"857","CNE1000003W8","6226576","PETROCHINA CO LTD H","3.7185","Equity","Oil & Gas","China","$281,385,000","226,746,000","1.24","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"386","CNE1000002Q2","6291819","CHINA PETROLEUM & CHEMICAL CORP.","3.3992","Equity","Oil & Gas","China","$257,221,354","288,982,600","0.89","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"688","HK0688002218","6192150","CHINA OVERSEAS LAND & INVESTMENT L","2.4639","Equity","Financials","China","$186,449,948","49,840,000","3.74","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"1288","CNE100000Q43","B60LZR6","AGRICULTURAL BANK OF CHINA LTD H","2.2693","Equity","Financials","China","$171,720,031","315,444,000","0.54","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
