iShares Core MSCI Emerging Markets ETF
Inception Date,"Oct 18, 2012"
Fund Holdings as of,"05-Aug-2015"
Total Net Assets,"$7,149,741,212"
Shares Outstanding,"162,200,000"
Stock,"99.12"
Bond,"0.00"
Cash,"0.39"
Other,"0.50"
 
Ticker,Name,ISIN,SEDOL,Weight (%),Sector,Asset Class,Country,Market Value,Shares,Price,Exchange,Currency,Market Currency,FX Rate,Notional Value
"005930","SAMSUNG ELECTRONICS LTD","KR7005930003","6771720","2.5252","Information Technology","Equity","Korea (South)","$181,782,283","184,080","987.52","Korea Exchange (Stock Market)","USD","KRW","1,173.65","-"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","TW0002330008","6889106","2.4130","Information Technology","Equity","Taiwan","$173,703,940","40,987,000","4.24","Taiwan Stock Exchange","USD","TWD","31.62","-"
"700","TENCENT HOLDINGS LTD","KYG875721634","BMMV2K8","2.1993","Information Technology","Equity","China","$158,322,642","8,618,800","18.37","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"941","CHINA MOBILE LTD","HK0941009539","6073556","1.8511","Telecommunication Services","Equity","China","$133,255,728","10,248,000","13.00","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"939","CHINA CONSTRUCTION BANK CORP H","CNE1000002H1","B0LMTQ3","1.5926","Financials","Equity","China","$114,643,426","140,176,000","0.82","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"3988","BANK OF CHINA LTD.","CNE1000001Z5","B154564","0.9990","Financials","Equity","China","$71,913,230","132,416,000","0.54","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"NPN","NASPERS LIMITED N LTD","ZAE000015889","6622691","1.3003","Consumer Discretionary","Equity","South Africa","$93,607,392","663,430","141.10","Johannesburg Stock Exchange","USD","ZAR","12.80","-"
"INFY","INFOSYS LTD","INE009A01021","6205122","0.7269","Information Technology","Equity","India","$52,323,713","3,070,740","17.04","National Stock Exchange Of India","USD","INR","63.76","-"
"1398","INDUSTRIAL & COMMERCIAL BANK OF CH","CNE1000003G1","B1G1QD8","1.1752","Financials","Equity","China","$84,598,909","122,811,000","0.69","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"2318","PING AN INS GRP CO OF CHINA LTD- H","CNE1000003X6","B01FLR7","0.6868","Financials","Equity","China","$49,438,854","8,750,000","5.65","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"2628","CHINA LIFE INS-H","CNE1000002L3","6718976","0.6416","Financials","Equity","China","$46,189,525","12,476,000","3.70","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"2317","HON HAI PRECISION INDUSTRY LTD","TW0002317005","6438564","0.8582","Information Technology","Equity","Taiwan","$61,778,186","21,947,568","2.81","Taiwan Stock Exchange","USD","TWD","31.62","-"
"ABEV3","AMBEV SA","BRABEVACNOR1","BG7ZWY7","0.6159","Consumer Staples","Equity","Brazil","$44,335,111","7,758,200","5.71","XBSP","USD","BRL","3.49","-"
"AMXL","AMERICA MOVIL L","MXP001691213","2667470","0.7329","Telecommunication Services","Equity","Mexico","$52,756,990","54,425,800","0.97","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"ITUB4","ITAU UNIBANCO HOLDING PREF SA","BRITUBACNPR1","B037HR3","0.5855","Financials","Equity","Brazil","$42,147,173","5,047,612","8.35","XBSP","USD","BRL","3.49","-"
"883","CNOOC LTD.","HK0883013259","B00G0S5","0.5138","Energy","Equity","China","$36,987,500","29,590,000","1.25","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
