iShares China Large-Cap ETF
Inception Date,"Oct 5, 2004"
Fund Holdings as of,"08-May-2015"
Total Net Assets,"$7,483,818,024"
Shares Outstanding,"148,350,000"
Stock,"99.87"
Bond,"0.00"
Cash,"0.07"
Other,"0.06"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Country,Market Value,Shares,Price,Exchange,Currency,Market Currency,FX Rate,Notional Value
"700","KYG875721634","BMMV2K8","TENCENT HOLDINGS LTD","8.6336","Equity","Technology","China","$639,716,447","32,211,800","19.86","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"941","HK0941009539","6073556","CHINA MOBILE LTD","7.7010","Equity","Telecommunications","China","$570,616,026","40,894,500","13.95","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"939","CNE1000002H1","B0LMTQ3","CHINA CONSTRUCTION BANK CORP H","7.4432","Equity","Financials","China","$551,515,023","579,494,320","0.95","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"1398","CNE1000003G1","B1G1QD8","INDUSTRIAL & COMMERCIAL BANK OF CH","6.7574","Equity","Financials","China","$500,697,452","593,670,995","0.84","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"3988","CNE1000001Z5","B154564","BANK OF CHINA LTD.","5.8070","Equity","Financials","China","$430,280,429","647,877,000","0.66","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"2318","CNE1000003X6","B01FLR7","PING AN INS GRP CO OF CHINA LTD- H","4.6692","Equity","Financials","China","$345,971,372","24,213,000","14.29","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"2628","CNE1000002L3","6718976","CHINA LIFE INS-H","4.5057","Equity","Financials","China","$333,858,559","68,853,000","4.85","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"883","HK0883013259","B00G0S5","CNOOC LTD.","3.8428","Equity","Oil & Gas","China","$284,737,492","174,130,000","1.64","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"857","CNE1000003W8","6226576","PETROCHINA CO LTD H","3.7246","Equity","Oil & Gas","China","$275,977,237","223,386,000","1.24","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"386","CNE1000002Q2","6291819","CHINA PETROLEUM & CHEMICAL CORP.","3.4981","Equity","Oil & Gas","China","$259,198,618","284,692,600","0.91","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"688","HK0688002218","6192150","CHINA OVERSEAS LAND & INVESTMENT L","2.5134","Equity","Financials","China","$186,233,365","49,120,000","3.79","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
