iShares China Large-Cap ETF
Inception Date,"Oct 5, 2004"
Fund Holdings as of,"11-May-2015"
Total Net Assets,"$7,390,001,422"
Shares Outstanding,"148,500,000"
Stock,"99.87"
Bond,"0.00"
Cash,"0.07"
Other,"0.06"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Country,Market Value,Shares,Price,Exchange,Currency,Market Currency,FX Rate,Notional Value
"700","KYG875721634","BMMV2K8","TENCENT HOLDINGS LTD","8.8046","Equity","Technology","China","$658,922,576","32,211,800","20.46","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"941","HK0941009539","6073556","CHINA MOBILE LTD","7.5906","Equity","Telecommunications","China","$568,063,410","40,894,500","13.89","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"939","CNE1000002H1","B0LMTQ3","CHINA CONSTRUCTION BANK CORP H","7.3605","Equity","Financials","China","$550,849,402","579,494,320","0.95","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"1398","CNE1000003G1","B1G1QD8","INDUSTRIAL & COMMERCIAL BANK OF CH","6.7323","Equity","Financials","China","$503,834,538","593,670,995","0.85","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"3988","CNE1000001Z5","B154564","BANK OF CHINA LTD.","5.8285","Equity","Financials","China","$436,193,587","647,877,000","0.67","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"2318","CNE1000003X6","B01FLR7","PING AN INS GRP CO OF CHINA LTD- H","4.6653","Equity","Financials","China","$349,145,634","24,213,000","14.42","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"2628","CNE1000002L3","6718976","CHINA LIFE INS-H","4.5329","Equity","Financials","China","$339,236,396","68,853,000","4.93","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"883","HK0883013259","B00G0S5","CNOOC LTD.","3.8593","Equity","Oil & Gas","China","$288,822,338","174,130,000","1.66","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"857","CNE1000003W8","6226576","PETROCHINA CO LTD H","3.6651","Equity","Oil & Gas","China","$274,289,454","223,386,000","1.23","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"386","CNE1000002Q2","6291819","CHINA PETROLEUM & CHEMICAL CORP.","3.4836","Equity","Oil & Gas","China","$260,705,827","284,692,600","0.92","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"688","HK0688002218","6192150","CHINA OVERSEAS LAND & INVESTMENT L","2.5904","Equity","Financials","China","$193,863,476","49,120,000","3.95","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"1288","CNE100000Q43","B60LZR6","AGRICULTURAL BANK OF CHINA LTD H","2.2653","Equity","Financials","China","$169,529,528","310,734,000","0.55","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"2601","CNE1000009Q7","B2Q5H56","CHINA PACIFIC INSURANCE (GROUP) LT","2.2242","Equity","Financials","China","$166,455,090","31,060,600","5.36","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"3968","CNE1000002M1","B1DYPZ5","CHINA MERCHANTS BANK CO. LTD H","2.1852","Equity","Financials","China","$163,538,084","55,248,438","2.96","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"728","CNE1000002V2","6559335","CHINA TELECOM CORP LTD H","1.8833","Equity","Telecommunications","China","$140,942,273","194,788,000","0.72","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"992","HK0992009065","6218089","LENOVO GROUP LTD","1.8521","Equity","Technology","China","$138,606,256","77,536,000","1.79","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"267","HK0267001375","6196152","CITIC LTD","1.7475","Equity","Industrials","China","$130,782,319","65,929,000","1.98","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"762","HK0000049939","6263830","CHINA UNICOM (HONG KONG) LTD.","1.7161","Equity","Telecommunications","China","$128,431,096","68,390,000","1.88","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"566","BMG4288J1062","BRJ8XY8","HANERGY THIN FILM POWER GROUP LTD","1.6312","Equity","Consumer Goods","Hong Kong","$122,079,386","135,216,000","0.90","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"1044","KYG4402L1510","6136233","HENGAN INTERNATIONAL GROUP LTD","1.4533","Equity","Consumer Goods","China","$108,764,647","8,802,500","12.36","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"1988","CNE100000HF9","B57JY24","CHINA MINSHENG BANKING CORP. LTD.","1.4325","Equity","Financials","China","$107,207,295","73,428,000","1.46","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
"1088","CNE1000002R0","B09N7M0","CHINA SHENHUA ENERGY CO. LTD.","1.3688","Equity","Basic Materials","China","$102,440,766","40,898,500","2.50","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","-"
